name,year_start,year_end,position,height,weight,birth_date,college,id,Player,collage,born,birth_city,birth_state
Alaa Abdelnaby,1991,1995,F-C,208,108,June 24, 1968,Duke University,2047,Alaa Abdelnaby,Duke University,1968,Cairo,Egypt
Zaid Abdul-Aziz,1969,1978,C-F,206,106,April 7, 1946,Iowa State University,746,Zaid Abdul-Aziz,Iowa State University,1946,Brooklyn,New York
Kareem Abdul-Jabbar,1970,1989,C,7-2,225,April 16, 1947,University of California, Los Angeles
Mahmoud Abdul-Rauf,1991,2001,G,188,83,March 9, 1969,Louisiana State University,2048,Mahmoud Abdul-Rauf,University of California, Los Angeles,1942,Wilmington,Delaware
Tariq Abdul-Wahad,1998,2003,F,198,101,November 3, 1974,San Jose State University,2518,Tariq Abdul-Wahad,San Jose State University,1974,Maisons Alfort,France
Shareef Abdur-Rahim,1997,2008,F,206,102,December 11, 1976,University of California,2449,Shareef Abdur-Rahim,University of California,1976,Marietta,Georgia
Tom Abernethy,1977,1981,F,201,99,May 6, 1954,Indiana University,1121,Tom Abernethy,Indiana University,1954,South Bend,Indiana
Forest Able,1957,1957,G,190,81,July 27, 1932,Western Kentucky University,418,Forest Able,Western Kentucky University,1932,,
John Abramovic,1947,1948,F,6-3,195,February 9, 1919,Salem International University
Alex Abrines,2017,2018,G-F,198,86,August 1, 1993,,3833,Alex Abrines,,1993,Palma de Mallorca,Spain
Alex Acker,2006,2009,G,196,83,January 21, 1983,Pepperdine University,3042,Alex Acker,Pepperdine University,1983,Compton,California
Don Ackerman,1954,1954,G,183,83,September 4, 1930,Long Island University,319,Don Ackerman,Long Island University,1930,New York,New York
Mark Acres,1988,1993,F-C,211,99,November 15, 1962,Oral Roberts University,1831,Mark Acres,Oral Roberts University,1962,Inglewood,California
Bud Acton,1968,1968,F,198,95,January 11, 1942,Hillsdale College,702,Bud Acton,Hillsdale College,1942,,
Quincy Acy,2013,2018,F,201,108,October 6, 1990,Baylor University,3531,Quincy Acy,Baylor University,1990,Tyler,Texas
Alvan Adams,1976,1988,C-F,206,95,July 19, 1954,University of Oklahoma,1071,Alvan Adams,University of Oklahoma,1954,Lawrence,Kansas
Don Adams,1971,1977,F,198,95,November 27, 1947,Northwestern University,822,Don Adams,Northwestern University,1947,Atlanta,Georgia
George Adams,1973,1975,F-G,6-5,210,May 15, 1949,Gardner-Webb University
Hassan Adams,2007,2009,G,193,99,June 20, 1984,University of Arizona,3126,Hassan Adams,University of Arizona,1984,Inglewood,California
Jordan Adams,2015,2016,G,196,94,July 8, 1994,University of California, Los Angeles,3681,Jordan Adams,University of California, Los Angeles,1994,Atlanta,Georgia
Michael Adams,1986,1996,G,178,73,January 19, 1963,Boston College,1707,Michael Adams,Boston College,1963,Hartford,Connecticut
Steven Adams,2014,2018,C,213,115,July 20, 1993,University of Pittsburgh,3607,Steven Adams,University of Pittsburgh,1993,Rotorua,New Zealand
Rafael Addison,1987,1997,F-G,201,97,July 22, 1964,Syracuse University,1769,Rafael Addison,Syracuse University,1964,Jersey City,New Jersey
Bam Adebayo,2018,2018,C-F,6-10,243,July 18, 1997,University of Kentucky
Rick Adelman,1969,1975,G,185,79,June 16, 1946,Loyola Marymount University,747,Rick Adelman,Loyola Marymount University,1946,Lynwood,California
Jeff Adrien,2011,2015,F,201,111,February 10, 1986,University of Connecticut,3385,Jeff Adrien,University of Connecticut,1986,Brookline,Massachusetts
Arron Afflalo,2008,2018,G,196,95,October 15, 1985,University of California, Los Angeles,3204,Arron Afflalo,University of California, Los Angeles,1985,Los Angeles,California
Maurice Ager,2007,2011,G,196,91,February 9, 1984,Michigan State University,3127,Maurice Ager,Michigan State University,1984,Detroit,Michigan
Mark Aguirre,1982,1994,F-G,198,105,December 10, 1959,DePaul University,1468,Mark Aguirre,DePaul University,1959,Chicago,Illinois
Blake Ahearn,2008,2012,G,188,86,May 27, 1984,Missouri State University,3205,Blake Ahearn,Missouri State University,1984,St. Louis,Missouri
Danny Ainge,1982,1995,G,193,79,March 17, 1959,Brigham Young University,1469,Danny Ainge,Brigham Young University,1959,Eugene,Oregon
Matthew Aitch,1968,1968,F,6-7,230,September 21, 1944,Michigan State University
Alexis Ajinca,2009,2017,C,218,112,May 6, 1988,,3267,Alexis Ajinca,,1988,Saint-Etienne,France
Henry Akin,1967,1969,C-F,208,102,July 31, 1944,Morehead State University,671,Henry Akin,Morehead State University,1944,Detroit,Michigan
Josh Akognon,2013,2013,G,180,83,February 10, 1986,California State University, Fullerton,3532,Josh Akognon,California State University, Fullerton,1986,Greenbrae,California
Solomon Alabi,2011,2012,C,216,113,March 21, 1988,Florida State University,3386,Solomon Alabi,Florida State University,1988,Kaduna,Nigeria
Mark Alarie,1987,1991,F,203,98,December 11, 1963,Duke University,1770,Mark Alarie,Duke University,1963,Phoenix,Arizona
Gary Alcorn,1960,1961,C,206,102,October 8, 1936,California State University, Fresno,490,Gary Alcorn,California State University, Fresno,1936,,
Furkan Aldemir,2015,2015,F-C,208,108,August 9, 1991,,3682,Furkan Aldemir,,1991,Konak,Turkey
Cole Aldrich,2011,2018,C,211,113,October 31, 1988,University of Kansas,3387,Cole Aldrich,University of Kansas,1988,Burnsville,Minnesota
LaMarcus Aldridge,2007,2018,F-C,211,117,July 19, 1985,University of Texas at Austin,3128,LaMarcus Aldridge,University of Texas at Austin,1985,Dallas,Texas
Chuck Aleksinas,1985,1985,C,211,117,February 26, 1959,University of Connecticut,1648,Chuck Aleksinas,University of Connecticut,1959,Litchfield,Connecticut
Cliff Alexander,2016,2016,F,203,111,November 16, 1995,University of Kansas,3761,Cliff Alexander,University of Kansas,1995,Chicago,Illinois
Cory Alexander,1996,2005,G,185,83,June 22, 1973,University of Virginia,2376,Cory Alexander,University of Virginia,1973,Waynesboro,Virginia
Courtney Alexander,2001,2003,G,185,83,April 27, 1977,California State University, Fresno,2708,Courtney Alexander,University of Virginia,1973,Waynesboro,Virginia
Gary Alexander,1994,1994,F,201,108,November 1, 1969,University of South Florida,2245,Gary Alexander,University of South Florida,1969,Jacksonville,Florida
Joe Alexander,2009,2010,F,203,104,December 26, 1986,West Virginia University,3268,Joe Alexander,West Virginia University,1986,Kaohsiung,Taiwan
Victor Alexander,1992,2002,C-F,206,120,August 31, 1969,Iowa State University,2120,Victor Alexander,Iowa State University,1969,Detroit,Michigan
Steve Alford,1988,1991,G,188,83,November 23, 1964,Indiana University,1832,Steve Alford,Indiana University,1964,Franklin,Indiana
Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State University
Bob Allen,1969,1969,F,206,92,July 17, 1946,Marshall University,748,Bob Allen,Marshall University,1946,,
Jarrett Allen,2018,2018,F-C,6-10,234,April 21, 1998,University of Texas at Austin
Jerome Allen,1996,1997,G,193,83,January 28, 1973,University of Pennsylvania,2377,Jerome Allen,University of Pennsylvania,1973,Philadelphia,Pennsylvania
Kadeem Allen,2018,2018,G,6-3,192,January 15, 1993,University of Arizona
Lavoy Allen,2012,2017,F-C,206,117,February 4, 1989,Temple University,3452,Lavoy Allen,Temple University,1989,Morrisville,Pennsylvania
Lucius Allen,1970,1979,G,188,79,September 26, 1947,University of California, Los Angeles,790,Lucius Allen,University of California, Los Angeles,1947,Kansas City,Kansas
Malik Allen,2002,2011,F-C,208,115,June 27, 1978,Villanova University,2776,Malik Allen,Villanova University,1978,Willingboro,New Jersey
Randy Allen,1989,1990,F,203,99,January 26, 1965,Florida State University,1890,Randy Allen,Florida State University,1965,Milton,Florida
Ray Allen,1997,2014,G,203,99,July 20, 1975,University of Connecticut,2450,Ray Allen,Florida State University,1965,Milton,Florida
Tony Allen,2005,2018,G-F,193,96,January 11, 1982,Oklahoma State University,2974,Tony Allen,Oklahoma State University,1982,Chicago,Illinois
Willie Allen,1972,1972,F,6-6,230,February 8, 1949,University of Miami
Odis Allison,1972,1972,F,198,88,October 2, 1949,University of Nevada, Las Vegas,885,Odis Allison,University of Nevada, Las Vegas,1949,,
Lance Allred,2008,2008,C,211,113,February 2, 1981,Weber State University,3206,Lance Allred,Weber State University,1981,Salt Lake City,Utah
Darrell Allums,1981,1981,F,206,99,September 12, 1958,University of California, Los Angeles,1391,Darrell Allums,University of California, Los Angeles,1958,Los Angeles,California
Morris Almond,2008,2012,G,198,102,February 2, 1985,Rice University,3207,Morris Almond,Rice University,1985,Dalton,Georgia
Derrick Alston,1995,1997,F,211,102,August 20, 1972,Duquesne University,2317,Derrick Alston,Duquesne University,1972,Bronx,New York
Rafer Alston,2000,2010,G,188,77,July 24, 1976,California State University, Fresno,2648,Rafer Alston,California State University, Fresno,1976,New York,New York
Peter Aluma,1999,1999,C,208,117,April 23, 1973,Liberty University,2582,Peter Aluma,Liberty University,1973,Lagos,Nigeria
John Amaechi,1996,2003,C-F,208,122,November 26, 1970,Pennsylvania State University,2378,John Amaechi,Pennsylvania State University,1970,Boston,Massachusetts
Ashraf Amaya,1996,1997,F,203,104,November 23, 1971,Southern Illinois University,2379,Ashraf Amaya,Southern Illinois University,1971,Oak Park,Illinois
Al-Farouq Aminu,2011,2018,F,206,99,September 21, 1990,Wake Forest University,3388,Al-Farouq Aminu,Wake Forest University,1990,Atlanta,Georgia
Lou Amundson,2007,2016,F,206,99,December 7, 1982,University of Nevada, Las Vegas,3129,Lou Amundson,University of Nevada, Las Vegas,1982,Ventura,California
Bob Anderegg,1960,1960,F-G,190,90,August 24, 1937,Michigan State University,491,Bob Anderegg,Michigan State University,1937,Monroe,Wisconsin
Chris Andersen,2002,2017,F-C,208,111,July 7, 1978,Blinn College,2777,Chris Andersen,Blinn College,1978,Long Beach,California
David Andersen,2010,2011,C,208,104,June 23, 1980,,3329,David Andersen,Augsburg College,1943,Minneapolis,Minnesota
Alan Anderson,2006,2017,G-F,198,99,October 16, 1982,Michigan State University,3043,Alan Anderson,Michigan State University,1982,Minneapolis,Minnesota
Andrew Anderson,1968,1970,G,6-2,184,July 6, 1945,Canisius College
Antonio Anderson,2010,2010,G,188,83,June 5, 1985,University of Memphis,3330,Antonio Anderson,Canisius College,1945,Buffalo,New York
Cliff Anderson,1968,1971,G-F,188,90,September 7, 1944,Saint Joseph's University,703,Cliff Anderson,Saint Joseph's University,1944,,
Dan Anderson,1968,1969,C,208,104,February 15, 1943,Augsburg College,1019,Dan Anderson,Augsburg College,1943,Minneapolis,Minnesota
Dan Anderson,1975,1976,G,208,104,January 1, 1951,University of Southern California,1019,Dan Anderson,Augsburg College,1943,Minneapolis,Minnesota
Derek Anderson,1998,2008,G,196,87,July 18, 1974,University of Kentucky,2519,Derek Anderson,University of Kentucky,1974,Louisville,Kentucky
Dwight Anderson,1983,1983,G,190,83,December 28, 1960,University of Southern California,1531,Dwight Anderson,University of Southern California,1960,Dayton,Ohio
Eric Anderson,1993,1994,F,206,99,May 26, 1970,Indiana University,2180,Eric Anderson,Indiana University,1970,Chicago,Illinois
Greg Anderson,1988,1998,F-C,208,104,June 22, 1964,University of Houston,1833,Greg Anderson,University of Houston,1964,Houston,Texas
J.J. Anderson,1983,1985,F,190,83,September 23, 1960,Bradley University,1532,J.J. Anderson,,1960,,
James Anderson,2011,2016,G-F,198,96,March 25, 1989,Oklahoma State University,3389,James Anderson,Oklahoma State University,1989,El Dorado,Arkansas
Jerome Anderson,1976,1977,G,196,88,October 9, 1953,West Virginia University,1072,Jerome Anderson,West Virginia University,1953,Mullens,West Virginia
Justin Anderson,2016,2018,G,198,103,November 19, 1993,University of Virginia,3762,Justin Anderson,University of Virginia,1993,Montross,Virginia
Kenny Anderson,1992,2005,G,183,76,October 9, 1970,Georgia Institute of Technology,2121,Kenny Anderson,Georgia Institute of Technology,1970,Queens,New York
Kim Anderson,1979,1979,F,201,90,May 12, 1955,University of Missouri,1287,Kim Anderson,University of Missouri,1955,Sedalia,Missouri
Kyle Anderson,2015,2018,F-G,206,104,September 20, 1993,University of California, Los Angeles,3683,Kyle Anderson,University of California, Los Angeles,1993,New York,New York
Michael Anderson,1989,1989,G,180,83,March 23, 1966,Drexel University,1891,Michael Anderson,Drexel University,1966,Philadelphia,Pennsylvania
Nick Anderson,1990,2002,F-G,198,92,January 20, 1968,University of Illinois at Urbana-Champaign,1967,Nick Anderson,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
Richard Anderson,1983,1990,F-C,208,108,November 19, 1960,University of California, Santa Barbara,1533,Richard Anderson,University of California, Santa Barbara,1960,San Pedro,California
Ron Anderson,1985,1994,F-G,201,97,October 15, 1958,California State University, Fresno,1649,Ron Anderson,California State University, Fresno,1958,Chicago,Illinois
Ryan Anderson,2009,2018,F,208,108,May 6, 1988,University of California,3269,Ryan Anderson,University of California,1988,Sacramento,California
Shandon Anderson,1997,2006,F-G,198,94,December 31, 1973,University of Georgia,2451,Shandon Anderson,University of Georgia,1973,Atlanta,Georgia
Willie Anderson,1989,1997,G-F,201,86,January 8, 1967,University of Georgia,1892,Willie Anderson,University of Georgia,1967,Greenville,South Carolina
Wally Anderzunas,1970,1970,C-F,201,99,January 11, 1946,Creighton University,791,Wally Anderzunas,Creighton University,1946,,
Martynas Andriuskevicius,2006,2006,C,218,108,March 12, 1986,,3044,Martynas Andriuskevicius,,1986,Kaunas,Lithuania
Don Anielak,1955,1955,F,201,86,November 1, 1930,Missouri State University,354,Don Anielak,Missouri State University,1930,,
Ike Anigbogu,2018,2018,F-C,6-10,252,October 22, 1998,University of California, Los Angeles
Michael Ansley,1990,1992,F,201,102,February 8, 1967,University of Alabama,1968,Michael Ansley,University of Alabama,1967,Birmingham,Alabama
Chris Anstey,1998,2000,C,213,112,January 1, 1975,,2520,Chris Anstey,,1975,Melbourne,Australia
Giannis Antetokounmpo,2014,2018,F-G,211,100,December 6, 1994,,3608,Giannis Antetokounmpo,,1994,Athens,Greece
Thanasis Antetokounmpo,2016,2016,F,201,92,July 17, 1992,,3763,Thanasis Antetokounmpo,,1992,Athens,Greece
Carmelo Anthony,2004,2018,F,203,108,May 29, 1984,Syracuse University,2907,Carmelo Anthony,Syracuse University,1984,New York,New York
